28.961,17.911,0.543
2.464,0.371,1.9
0.153,0.21,0.287
0.157,0.105,0.262
0.221,0.26,0.666
0.202,0.525,0.262
0.318,0.296,0.201
0.407,0.351,0.347
0.358,0.133,0.298
0.384,0.151,0.226
0.227,0.12,0.163
0.197,0.134,0.176
0.19,0.117,0.218
0.344,0.333,0.167
0.191,0.119,0.16
0.176,0.156,0.146
0.289,0.143,0.211
1.024,0.213,0.263
0.245,0.166,0.343
0.226,0.157,0.328
0.232,0.726,0.225
0.207,0.122,0.2
0.414,0.181,0.17
0.255,0.133,0.169
0.398,0.468,0.232
0.222,0.117,0.217
0.233,0.146,0.216
0.561,0.793,0.219
0.25,0.137,0.216
0.27,0.406,0.514
0.244,0.145,0.291
0.265,0.153,0.42
0.201,0.154,0.399
0.222,0.193,0.453
0.353,0.263,0.288
0.336,0.206,0.287
0.265,0.157,0.219
0.315,0.283,0.312
0.424,0.155,0.237
0.36,0.182,0.382
0.324,0.137,0.582
0.267,0.168,0.207
0.268,0.22,0.25
0.269,0.149,0.245
0.246,0.151,0.26
0.224,0.159,0.219
0.254,0.135,0.209
0.216,0.13,0.202
0.223,0.148,0.2
0.305,0.13,0.329
0.231,0.223,0.282
0.264,0.137,0.211
0.227,0.177,0.259
0.227,0.142,0.201
0.245,0.139,0.211
0.604,0.13,0.215
0.734,0.138,0.215
0.265,0.111,0.164
0.242,0.149,0.2
0.162,0.285,0.264
0.363,0.138,0.21
0.224,0.301,0.243
0.215,0.137,0.505
0.243,0.364,0.434
0.289,0.367,0.44
0.251,0.234,0.244
0.264,0.371,0.216
0.534,0.284,0.221
0.719,0.142,0.344
0.226,0.165,0.217
0.218,0.141,0.228
0.214,0.141,0.205
0.25,0.135,0.237
0.211,0.144,0.236
0.217,0.148,0.225
0.224,0.132,0.276
0.221,0.156,0.196
0.2,0.143,0.402
0.223,0.247,0.327
0.189,0.139,0.335
0.226,0.23,0.209
0.219,0.147,0.203
0.622,0.139,0.255
0.226,0.14,0.204
0.177,0.558,0.204
0.463,0.164,0.397
0.253,0.15,0.223
0.228,0.133,0.495
0.603,0.135,0.228
1.191,0.129,0.22
0.279,0.142,0.195
0.31,0.406,0.193
0.352,0.149,0.193
0.27,0.142,0.413
0.28,0.136,0.25
0.563,0.172,0.206
0.258,0.143,0.206
0.205,0.147,0.215
0.215,0.138,0.568
